word,polarity
profits,positive
progress,positive
progressed,positive
progresses,positive
progressing,positive
prospered,positive
prosperity,positive
prosperous,positive
proven,positive
proves,positive
rebound,positive
rebounded,positive
rebounding,positive
rebounds,positive
record,positive
recover,positive
recovered,positive
recovering,positive
recovers,positive
recovery,positive
regain,positive
regained,positive
regaining,positive
resilience,positive
resilient,positive
resolved,positive
revive,positive
revived,positive
reward,positive
rewarded,positive
rewarding,positive
rewards,positive
robust,positive
satisfaction,positive
satisfactorily,positive
satisfactory,positive
satisfied,positive
satisfies,positive
satisfy,positive
satisfying,positive
smoothing,positive
smooth,positive
solid,positive
solidly,positive
spectacular,positive
spectacularly,positive
stability,positive
stabilize,positive
stabilized,positive
stable,positive
strategic,positive
strengthen,positive
strengthened,positive
strengthening,positive
strengthens,positive
strong,positive
stronger,positive
strongest,positive
strongly,positive
succeed,positive
succeeded,positive
succeeding,positive
succeeds,positive
success,positive
successes,positive
successful,positive
successfully,positive
surged,positive
surging,positive
tremendous,positive
tremendously,positive
triumph,positive
triumphant,positive
trust,positive
trusted,positive
unmatched,positive
unparalleled,positive
unrivalled,positive
upgrade,positive
upgraded,positive
upgrades,positive
upgrading,positive
upside,positive
upturn,positive
uptrend,positive
vibrant,positive
winning,positive
wins,positive
won,positive
abnormal,negative
abnormalities,negative
abnormality,negative
abolish,negative
abolished,negative
abrupt,negative
abruptly,negative
accident,negative
accidental,negative
accidentally,negative
accidents,negative
adversary,negative
adverse,negative
adversely,negative
adversities,negative
adversity,negative
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggravation,negative
allegation,negative
allegations,negative
alleged,negative
allegedly,negative
anti,negative
antitrust,negative
apprehension,negative
argue,negative
argued,negative
argument,negative
arguments,negative
assault,negative
assaulted,negative
attrition,negative
bad,negative
badly,negative
bailout,negative
bankrupt,negative
bankruptcies,negative
bankruptcy,negative
bankrupted,negative
bankrupting,negative
bankrupts,negative
barred,negative
barrier,negative
barriers,negative
below,negative
bottlenecks,negative
breach,negative
breached,negative
breaches,negative
breaching,negative
break,negative
broke,negative
broken,negative
burden,negative
burdened,negative
burdening,negative
burdens,negative
burdensome,negative
calamities,negative
calamity,negative
cancel,negative
cancelation,negative
cancelations,negative
canceled,negative
canceling,negative
cancellation,negative
cancellations,negative
cancelled,negative
cancelling,negative
cancels,negative
caution,negative
cautionary,negative
cautioned,negative
cautioning,negative
cautions,negative
cease,negative
ceased,negative
ceasing,negative
challenge,negative
challenged,negative
challenges,negative
challenging,negative
claim,negative
claimed,negative
claiming,negative
claims,negative
closed,negative
closing,negative
closure,negative
closures,negative
collapse,negative
collapsed,negative
collapses,negative
collapsing,negative
collusion,negative
collusive,negative
complain,negative
complained,negative
complaining,negative
complains,negative
complaint,negative
complaints,negative
concern,negative
concerned,negative
concerning,negative
concerns,negative
condemn,negative
condemnation,negative
condemned,negative
condemning,negative
condemns,negative
confess,negative
confession,negative
confessed,negative
confessing,negative
confessions,negative
confront,negative
confrontation,negative
confrontational,negative
confronted,negative
confronting,negative
confusing,negative
confusion,negative
contempt,negative
contend,negative
contended,negative
contending,negative
contends,negative
contentious,negative
contraction,negative
contractions,negative
convict,negative
convicted,negative
conviction,negative
corrupt,negative
corrupted,negative
corrupting,negative
corruption,negative
court,negative
crime,negative
crimes,negative
criminal,negative
criminally,negative
criminals,negative
crises,negative
crisis,negative
critical,negative
critically,negative
criticism,negative
criticisms,negative
criticize,negative
criticized,negative
criticizes,negative
criticizing,negative
damage,negative
damaged,negative
damages,negative
damaging,negative
danger,negative
dangerous,negative
dangerously,negative
dangers,negative
deadlock,negative
deadlocks,negative
decline,negative
declined,negative
declines,negative
declining,negative
default,negative
defaulted,negative
defaulting,negative
defaults,negative
defendant,negative
defendants,negative
defer,negative
deferment,negative
deferments,negative
deferral,negative
deferrals,negative
deferred,negative
deferring,negative
defers,negative
deficiencies,negative
deficiency,negative
deficient,negative
deficit,negative
deficits,negative
defraud,negative
defrauded,negative
defrauding,negative
delay,negative
delayed,negative
delaying,negative
delays,negative
delinquencies,negative
delinquency,negative
delinquent,negative
delist,negative
delisted,negative
delisting,negative
demise,negative
demoralize,negative
demoralized,negative
demote,negative
demoted,negative
denied,negative
denies,negative
deny,negative
denying,negative
deplete,negative
depleted,negative
depleting,negative
depletion,negative
depress,negative
depressed,negative
depressing,negative
depression,negative
deprive,negative
deprived,negative
depriving,negative
destabilize,negative
destabilized,negative
destabilizing,negative
destroy,negative
destroyed,negative
destroying,negative
destruction,negative
destructive,negative
deteriorate,negative
deteriorated,negative
deteriorates,negative
deteriorating,negative
deterioration,negative
detract,negative
detracted,negative
detracting,negative
detrimental,negative
detrimentally,negative
diminish,negative
diminished,negative
diminishes,negative
diminishing,negative
disadvantage,negative
disadvantaged,negative
disadvantages,negative
disallow,negative
disallowed,negative
disallowing,negative
disappear,negative
disappearance,negative
disappeared,negative
disappointed,negative
disappointing,negative
disappointingly,negative
disappointment,negative
disappointments,negative
disappoints,negative
disapproval,negative
disapprove,negative
disapproved,negative
disaster,negative
disasters,negative
disastrous,negative
disastrously,negative
discontinuance,negative
discontinuation,negative
discontinue,negative
discontinued,negative
discontinues,negative
discontinuing,negative
disfavor,negative
dishonest,negative
dishonesty,negative
dismal,negative
dismiss,negative
dismissal,negative
dismissals,negative
dismissed,negative
dismisses,negative
dismissing,negative
disparage,negative
disparaged,negative
disparaging,negative
disproportionate,negative
disproportionately,negative
dispute,negative
disputed,negative
disputes,negative
disputing,negative
disqualification,negative
disqualified,negative
disqualify,negative
disqualifying,negative
disregard,negative
disregarded,negative
disrupt,negative
disrupted,negative
disrupting,negative
disruption,negative
disruptions,negative
disruptive,negative
disrupts,negative
dissent,negative
dissenters,negative
dissenting,negative
distort,negative
distorted,negative
distorting,negative
distortion,negative
distortions,negative
distract,negative
distracted,negative
distracting,negative
distracts,negative
distress,negative
distressed,negative
distressing,negative
divert,negative
diverted,negative
diverting,negative
divest,negative
divested,negative
divesting,negative
divestiture,negative
divestitures,negative
divestment,negative
divestments,negative
doubt,negative
doubted,negative
doubtful,negative
doubts,negative
downgrade,negative
downgraded,negative
downgrades,negative
downgrading,negative
downside,negative
downsize,negative
downsized,negative
downsizes,negative
downsizing,negative
downsizings,negative
downtime,negative
downtimes,negative
downturn,negative
downturns,negative
downward,negative
drop,negative
dropped,negative
drops,negative
dropping,negative
endanger,negative
endangered,negative
endangering,negative
endangers,negative
erode,negative
eroded,negative
erodes,negative
eroding,negative
erosion,negative
err,negative
errant,negative
erratic,negative
erratically,negative
erred,negative
erring,negative
erroneous,negative
erroneously,negative
error,negative
errors,negative
exacerbate,negative
exacerbated,negative
exacerbates,negative
exacerbating,negative
exaggerate,negative
exaggerated,negative
exaggerates,negative
exaggerating,negative
exaggeration,negative
exaggerations,negative
exposed,negative
exposes,negative
exposing,negative
exposure,negative
exposures,negative
fail,negative
failed,negative
failing,negative
fails,negative
failure,negative
failures,negative
fault,negative
faulted,negative
faulting,negative
faults,negative
faulty,negative
fear,negative
feared,negative
fearful,negative
fears,negative
felony,negative
felonies,negative
fine,negative
fined,negative
fines,negative
flaw,negative
flawed,negative
flaws,negative
force,negative
forced,negative
forfeit,negative
forfeited,negative
forfeiting,negative
forfeits,negative
forfeiture,negative
fraud,negative
fraudulence,negative
fraudulent,negative
fraudulently,negative
frauds,negative
frustrate,negative
frustrated,negative
frustrates,negative
frustrating,negative
frustratingly,negative
frustration,negative
frustrations,negative
grievance,negative
grievances,negative
halt,negative
halted,negative
halting,negative
halts,negative
hamper,negative
hampered,negative
hampering,negative
hampers,negative
harass,negative
harassed,negative
harassing,negative
harassment,negative
harm,negative
harmed,negative
harmful,negative
harmfully,negative
harming,negative
harms,negative
hazard,negative
hazardous,negative
hazards,negative
hinder,negative
hindered,negative
hindering,negative
hinders,negative
hindrance,negative
hurt,negative
hurting,negative
hurts,negative
idle,negative
idled,negative
idling,negative
illegal,negative
illegalities,negative
illegality,negative
illegally,negative
illiquid,negative
illiquidity,negative
impair,negative
impaired,negative
impairing,negative
impairment,negative
impairments,negative
impairs,negative
impede,negative
impeded,negative
impedes,negative
impediment,negative
impediments,negative
impeding,negative
impossible,negative
inability,negative
inaccessible,negative
inaccuracies,negative
inaccuracy,negative
inaccurate,negative
inaccurately,negative
inactions,negative
inadequacies,negative
inadequacy,negative
inadequate,negative
inadequately,negative
incapable,negative
inconsistencies,negative
inconsistency,negative
inconsistent,negative
inconsistently,negative
inefficiencies,negative
inefficiency,negative
inefficient,negative
inefficiently,negative
inequitable,negative
inequities,negative
inequity,negative
infraction,negative
infractions,negative
infringe,negative
infringed,negative
infringement,negative
infringements,negative
infringes,negative
infringing,negative
injunction,negative
injunctions,negative
injure,negative
injured,negative
injures,negative
injuries,negative
injuring,negative
injurious,negative
injury,negative
insolvencies,negative
insolvency,negative
insolvent,negative
instability,negative
insufficiency,negative
insufficient,negative
insufficiently,negative
interfere,negative
interfered,negative
interference,negative
interferes,negative
interfering,negative
interrupt,negative
interrupted,negative
interrupting,negative
interruption,negative
interruptions,negative
interrupts,negative
investigate,negative
investigated,negative
investigates,negative
investigating,negative
investigation,negative
investigations,negative
jeopardize,negative
jeopardized,negative
lack,negative
lacked,negative
lacking,negative
lacks,negative
lag,negative
lagged,negative
lagging,negative
lags,negative
late,negative
layoff,negative
layoffs,negative
lawsuit,negative
lawsuits,negative
liable,negative
litigant,negative
litigants,negative
litigated,negative
litigating,negative
litigation,negative
litigations,negative
lose,negative
loses,negative
losing,negative
loss,negative
losses,negative
lost,negative
low,negative
lower,negative
lowered,negative
lowering,negative
lowers,negative
lowest,negative
malfunction,negative
malfunctioned,negative
malfunctions,negative
mismanage,negative
mismanaged,negative
mismanagement,negative
mismanages,negative
misrepresent,negative
misrepresentation,negative
misrepresentations,negative
misrepresented,negative
misrepresenting,negative
miss,negative
missed,negative
misses,negative
missing,negative
misstate,negative
misstated,negative
misstatement,negative
misstatements,negative
misstating,negative
mistake,negative
mistaken,negative
mistakenly,negative
mistakes,negative
mistrial,negative
misunderstand,negative
misunderstanding,negative
misuse,negative
misused,negative
misuses,negative
misusing,negative
negative,negative
negatives,negative
negatively,negative
neglect,negative
neglected,negative
neglecting,negative
neglects,negative
nonperforming,negative
objection,negative
objections,negative
obscure,negative
obscured,negative
obstruct,negative
obstructed,negative
obstruction,negative
offend,negative
offended,negative
offender,negative
offenders,negative
offensive,negative
omit,negative
omitted,negative
omitting,negative
overdue,negative
overrun,negative
overruns,negative
overshadow,negative
overstate,negative
overstated,negative
overstatement,negative
overstating,negative
penalize,negative
penalized,negative
penalizing,negative
penalties,negative
penalty,negative
perjury,negative
petition,negative
petitions,negative
plead,negative
pleaded,negative
pleading,negative
pleads,negative
poor,negative
poorly,negative
postpone,negative
postponed,negative
postponement,negative
postponements,negative
postpones,negative
postponing,negative
precipitate,negative
precipitated,negative
precipitous,negative
precipitously,negative
prejudice,negative
prejudiced,negative
prejudices,negative
prejudicial,negative
prevent,negative
prevented,negative
preventing,negative
prevention,negative
prevents,negative
prohibit,negative
prohibited,negative
prohibiting,negative
prohibition,negative
prohibitions,negative
prohibitive,negative
prohibitively,negative
prohibits,negative
prosecute,negative
prosecuted,negative
prosecutes,negative
prosecuting,negative
prosecution,negative
prosecutions,negative
protested,negative
protesting,negative
protests,negative
punishment,negative
punishments,negative
questionable,negative
questioned,negative
questioning,negative
recall,negative
recalled,negative
recalling,negative
recalls,negative
recession,negative
recessionary,negative
recessions,negative
redact,negative
redacted,negative
redaction,negative
redactions,negative
redress,negative
reduce,negative
reduced,negative
reduces,negative
reducing,negative
reduction,negative
reductions,negative
refuse,negative
refused,negative
refuses,negative
refusing,negative
reject,negative
rejected,negative
rejecting,negative
rejection,negative
rejections,negative
rejects,negative
reluctant,negative
reluctantly,negative
renegotiate,negative
renegotiated,negative
renegotiates,negative
renegotiating,negative
renegotiation,negative
reorganization,negative
reorganizations,negative
reorganize,negative
reorganized,negative
reorganizes,negative
reorganizing,negative
repossess,negative
repossessed,negative
repossession,negative
reprimand,negative
reprimanded,negative
reprisal,negative
reprisals,negative
repudiate,negative
repudiated,negative
repudiates,negative
repudiating,negative
repudiation,negative
restate,negative
restated,negative
restatement,negative
restatements,negative
restates,negative
restating,negative
restrict,negative
restricted,negative
restricting,negative
restriction,negative
restrictions,negative
restrictive,negative
restricts,negative
retaliate,negative
retaliated,negative
retaliates,negative
retaliating,negative
retaliation,negative
retaliations,negative
retaliatory,negative
revocation,negative
revocations,negative
revoke,negative
revoked,negative
revokes,negative
revoking,negative
sacrifice,negative
sacrificed,negative
sacrifices,negative
sacrificing,negative
sanction,negative
sanctioned,negative
sanctioning,negative
sanctions,negative
scandal,negative
scandals,negative
scrutinize,negative
scrutinized,negative
scrutinizing,negative
scrutiny,negative
seize,negative
seized,negative
seizing,negative
seizure,negative
seizures,negative
setback,negative
setbacks,negative
sever,negative
severe,negative
severely,negative
severities,negative
severity,negative
shocked,negative
shocking,negative
shocks,negative
shortage,negative
shortages,negative
shortfall,negative
shortfalls,negative
shrink,negative
shrinkage,negative
shrinkages,negative
shrinking,negative
shrinks,negative
shut,negative
shutdown,negative
shutdowns,negative
shuts,negative
shutting,negative
slow,negative
slowdown,negative
slowdowns,negative
slowed,negative
slower,negative
slowest,negative
slowing,negative
slowly,negative
sluggish,negative
sluggishly,negative
spike,negative
spiked,negative
spikes,negative
spiking,negative
squeeze,negative
squeezed,negative
squeezes,negative
squeezing,negative
stagnant,negative
stagnate,negative
stagnated,negative
stagnates,negative
stagnating,negative
stagnation,negative
strained,negative
strains,negative
stress,negative
stressed,negative
stresses,negative
stressful,negative
stressing,negative
struggle,negative
struggled,negative
struggles,negative
struggling,negative
subpoena,negative
subpoenaed,negative
subpoenas,negative
sued,negative
sues,negative
suffer,negative
suffered,negative
suffering,negative
suffers,negative
suing,negative
suspect,negative
suspected,negative
suspects,negative
suspend,negative
suspended,negative
suspending,negative
suspends,negative
suspension,negative
suspensions,negative
terminate,negative
terminated,negative
terminates,negative
terminating,negative
termination,negative
terminations,negative
threat,negative
threaten,negative
threatened,negative
threatening,negative
threatens,negative
threats,negative
tolerate,negative
tolerated,negative
tolerating,negative
toleration,negative
tough,negative
troubled,negative
troubles,negative
turmoil,negative
unable,negative
unacceptable,negative
unattractive,negative
unavailability,negative
unavailable,negative
uncertain,uncertainty
uncertainly,uncertainty
uncertainties,uncertainty
uncertainty,uncertainty
undeliverable,negative
undelivered,negative
underperformance,negative
underperformed,negative
underperforming,negative
underperforms,negative
undesirable,negative
undesirably,negative
unexpected,uncertainty
unexpectedly,uncertainty
unfair,negative
unfavorable,negative
unfavorably,negative
unfit,negative
unforeseen,uncertainty
unfortunate,negative
unfortunately,negative
unfriendly,negative
unhappy,negative
unidentifiable,uncertainty
unintended,negative
unintentional,negative
unintentionally,negative
unjustified,negative
unlawful,negative
unnecessary,negative
unpredictable,uncertainty
unproductive,negative
unprofitable,negative
unresolved,uncertainty
unrest,negative
unsafe,negative
unsettled,uncertainty
unstable,negative
unsuccessful,negative
unsuccessfully,negative
unsuitable,negative
untimely,negative
untrue,negative
unwelcome,negative
unwilling,negative
upheaval,negative
upheavals,negative
violate,negative
violated,negative
violates,negative
violating,negative
violation,negative
violations,negative
void,negative
voided,negative
voids,negative
volatile,uncertainty
volatility,uncertainty
vulnerabilities,negative
vulnerability,negative
vulnerable,negative
warn,negative
warned,negative
warning,negative
warnings,negative
warns,negative
weak,negative
weaken,negative
weakened,negative
weakening,negative
weakens,negative
weaker,negative
weakest,negative
weakness,negative
weaknesses,negative
worse,negative
worsen,negative
worsened,negative
worsening,negative
worsens,negative
worst,negative
worthless,negative
wrong,negative
wrongdoing,negative
wrongful,negative
wrongfully,negative
wrongly,negative
possible,uncertainty
possibly,uncertainty
probable,uncertainty
probably,uncertainty
may,uncertainty
might,uncertainty
pending,uncertainty
contingent,uncertainty
contingencies,uncertainty
preliminary,uncertainty
approximate,uncertainty
approximates,uncertainty
approximately,uncertainty
approximating,uncertainty
approximation,uncertainty
depend,uncertainty
depended,uncertainty
dependence,uncertainty
dependencies,uncertainty
dependency,uncertainty
dependent,uncertainty
depending,uncertainty
depends,uncertainty
assume,uncertainty
assumed,uncertainty
assumes,uncertainty
assuming,uncertainty
assumption,uncertainty
assumptions,uncertainty
exposure,uncertainty
exposures,uncertainty
turbulence,uncertainty
turbulent,uncertainty
clarification,uncertainty
clarifications,uncertainty
clarify,uncertainty
revise,uncertainty
revised,uncertainty
revising,uncertainty
revision,uncertainty
revisions,uncertainty
fluctuate,uncertainty
fluctuated,uncertainty
fluctuates,uncertainty
fluctuating,uncertainty
fluctuation,uncertainty
fluctuations,uncertainty
